French,Russian,Category,Subcategory
être,быть,Verbes,Top100
avoir,иметь,Verbes,Top100
faire,делать / сделать,Verbes,Top100
"dire, parler",говорить / сказать,Verbes,Top100
aller (à pied),идти / пойти,Verbes,Top100
voir,видеть / увидеть,Verbes,Top100
"savoir, connaître",знать / узнать,Verbes,Top100
pouvoir,мочь / смочь,Verbes,Top100
vouloir,хотеть / захотеть,Verbes,Top100
penser,думать / подумать,Verbes,Top100
regarder,смотреть / посмотреть,Verbes,Top100
